0,#zm_towers_default,7#,7#,7#,#,#,#,#,#,#,#,#,#
1,#whats_the_point,7#zmtrials/whats_the_point,7#zmtrials/whats_the_point_desc,7#,#damage_drains_points,#100,#,#,#,#,#,#,#
2,#hash_6a169738c6691e01,7#hash_1cc4303a4301c66,7#hash_43c5dc7745aea596,7#,#sprinters_only,#,#,#,#,#,#,#,#
3,#shoot_straight,7#zmtrials/shoot_straight,7#zmtrials/shoot_straight_desc,7#,#hash_4043192ca121b4d4,#50,#,#,#,#,#,#,#
4,#ride_shotgun,7#zmtrials/ride_shotgun,7#zmtrials/ride_shotgun_desc,7#,#restrict_loadout,#hash_33380540d3ae5004,#,#,#,#,#,#,#
5,#shielded,7#zmtrials/shielded,7#zmtrials/shielded_desc,7#,#acquire_weapon,#zhield_zword_dw,#,#,#,#,#,#,#
6,#open_sesame,7#zmtrials/open_sesame,7#zmtrials/open_sesame_desc,7#,#open_all_doors,#,#,#,#,#,#,#,#
7,#shields_up,7#zmtrials/shields_up,7#zmtrials/shields_up_desc,7#,#restrict_loadout,#shield,#,#,#,#,#,#,#
8,#creeper,7#zmtrials/creeper,7#zmtrials/creeper_desc,7#,#hash_64d77357e69aee75,#crouch,#,#,#,#,#,#,#
9,#ix_lives,7#zmtrials/ix_lives,7#zmtrials/ix_lives_desc,7#,#hash_6c9de9db7f3e44a3,#hash_5fea2159d1a2a904,#gladiator,#9,#hash_f7011df2ad413b5,#zone_starting_area_center,#,#,#
10,#hash_6ab5543f25d2b74b,7#hash_55e02dd5d39f9106,7#hash_5807dc4b69518bf6,7#,#defend_area,#hash_aefdadde0c31697,#hash_7cd92738d04c1625,#hash_79cbb781f15087ce,#zone_pap_room,#zone_pap_room_balcony_flooded_crypt,#,#,#
10,#,7#,7#,7#,#give_reward,#hash_20e770cec441c9f2,#hash_3ad6fd4b554f42a0,#uie_trial_medal_bronze,#hash_6dd1118d38426588,#,#,#,#
11,#shoot_from_the_hip,7#zmtrials/shoot_from_the_hip,7#zmtrials/shoot_from_the_hip_desc,7#,#no_ads,#,#,#,#,#,#,#,#
12,#slowpoke,7#zmtrials/slowpoke,7#zmtrials/slowpoke_desc,7#,#no_sprint,#,#,#,#,#,#,#,#
