type,name
model,#veh_mphd_police_car_dead
model,#veh_mphd_car_compact_mirror_r_red
model,#veh_mphd_van_dest_red
model,#p8_mp_bomb_crate_palette
model,#p7_fxanim_mp_slums_wire_control_mod
model,#p7_slu_panel_electrical_01_lid_02
model,#p7_slu_panel_electrical_01_lid_01
model,#p7_fxanim_gp_wire_sparking_med_thick_mod
model,#p7_slu_cooler_plastic
model,#veh_mphd_van_red
model,#veh_mphd_van_sticker_01
model,#veh_mphd_van_sticker_03
model,#veh_t8_civ_license_plate_back_panama_truck_red
model,#veh_mphd_van_dest_attach
model,#p7_fxp_debris_metal_scrap_01
model,#p7_fxp_debris_metal_scrap_02
model,#hash_ccc7f96cb364a45
model,#veh_mphd_car_compact_red
model,#p7_slu_bottle_plastic_dmg_01
model,#p7_slu_bottle_plastic_dmg_02
model,#veh_t8_civ_license_plate_front_panama_truck_red
model,#veh_mphd_car_compact_mirror_l_grey
model,#hash_11ffb4f2d87fcc38
model,#veh_mphd_car_compact_destructible_grey
model,#p7_slu_food_container_foam_05
model,#p7_slu_food_container_foam_01
model,#p7_food_fruit_banana_bunch_dmg_01a
model,#veh_mphd_van_dest_blue
model,#p7_slu_cup_trash_short_03
model,#hash_1663d3c1c15f0aa2
model,#veh_t8_civ_license_plate_back_panama_truck_blu
model,#p7_slu_fire_hydrant
model,#p7_slu_cinder_block
model,#p7_slu_fire_hydrant_allstates
model,#hash_187b3a82d76b1a5e
model,#veh_t8_civ_license_plate_front_panama_truck_blu
model,#c_t7_mp_battery_mpc_fb1_skin1
model,#veh_mphd_van_blue
model,#hash_1ac4e62cf9ec88d1
model,#veh_t8_civ_license_plate_front_panama_compact_red
model,#fx_decal_burnt_paper
model,#veh_t8_civ_license_plate_back_panama_compact_red
model,#p8_mp_bomb_crate_open
model,#p8_mp_bomb_crate_single
model,#p7_debris_trash_bottle_water_02
model,#p7_slu_fire_hydrant_top_dmg
model,#p7_fxanim_mp_slums_tarp_plastic_wall_01_mod
model,#hash_2ef77ddaf76cd3df
model,#veh_mphd_gaz_tigr_dest_attach
model,#p7_fxanim_gp_trash_bag_large_03_white_s3_mod
model,#p7_construction_hardhat
model,#veh_mphd_van_sticker_01_dest
model,#veh_mphd_car_compact_mirror_r_grey
model,#veh_mphd_car_compact_mirror_l_red
model,#p8_mp_flag_base_light_fixture_1
model,#p7_ban_debris_trash_can_cola_01
model,#veh_mphd_van_red_dead
model,#veh_mphd_van_damage_01
model,#p7_window_glass_shard_06
model,#p7_window_glass_shard_01
model,#p7_slu_water_bottle
model,#c_t7_mp_technomancer_mpc_fb1_skin1
model,#p7_fxanim_mp_slums_tarp_plastic_roof_01_mod
model,#p7_cup_coffee_paper
model,#veh_mphd_car_compact_trash_01
model,#c_t7_mp_warrior_mpc_fb1_skin1
model,#veh_mphd_car_compact_grey_dead
model,#veh_t8_civ_license_plate_front_panama_compact_gry
model,#p7_food_fruit_pineapple_01b_dmg
model,#p8_mp_bomb_crate_whole_destroyed
model,#veh_mphd_car_compact_destructible_red
model,#p7_debris_trash_snack_bag_07
model,#p7_slu_meter_electric_01_lid
model,#p7_debris_trash_cup_coffee_02
model,#skybox_default_day
model,#veh_mphd_car_compact_grey
model,#p8_wz_supply_stash_health
model,#wpn_t8_eqp_briefcase_bomb_stow
model,#p7_slu_tire_dirty
model,#p8_mp_flag_pole_1
model,#p7_mou_corkboard_light_3
model,#p8_mp_flag_base_1
model,#p8_mp_bomb_crate_brace
model,#p7_fxanim_gp_vent_roof_mod
model,#veh_mphd_gaz_tigr_dead
model,#veh_mphd_gaz_tigr
