type,name
model,#p8_fxanim_wz_supply_stash_01_mod
model,#wpn_t8_eqp_spray_paint_can_world
model,#hash_4c315b7f2185c393
model,#p8_wz_supply_stash_chest_02
model,#wpn_t8_eqp_spray_paint_can_view
model,#p8_wz_medical_wheelchair_01_hospital
gesture,#hash_6dbb203d420a583
gesture,#hash_10a3bc4879220f8a
gesture,#hash_202583ee04b1cae2
gesture,#ges_spray_sig_bow
gesture,#ges_grab
gesture,#ges_spray
gesture,#hash_2bfc8a1e1322e056
gesture,#ges_door_interact
gesture,#ges_battle_cry
gesture,#ges_grab_bare_hands
gesture,#hash_4590790b4c08d9ce
gesture,#ges_grab_one_handed
gesture,#hash_4c834a2bdbbd7c31
gesture,#hash_59402172029f52fe
gesture,#hash_5adafdc04b8543e5
gesture,#hash_62fc856013713b9d
gesture,#ges_grab_rh
gesture,#ges_grab_sig_bow
gesture,#hash_7153897588eac696
gesture,#hash_7153d04831caf054
gesture,#hash_72caf548e0071693
gesture,#boast_zombie_climbout
gesture,#hash_78f14835573b0d80
gesture,#ges_spray_rh
gesture,#hash_7d467f9f2d948647
gesturetable,#gestable_spray_can
gesturetable,#gestable_concertina_reaction
gesturetable,#gestable_grab
gesturetable,#gestable_door_interact
gesturetable,#gestable_battle_cry
xanim,#hash_9fae5d76c43cd
xanim,#vm_door_interact
xanim,#hash_34d80583649401d
xanim,#vm_grab_sig_bow
xanim,#pt_bow_prone_flashed_loop
xanim,#hash_534358370df4150
xanim,#hash_548b5745fcb3d7c
xanim,#hash_5b927a49412d52c
xanim,#vm_battle_cry_sig_bow
xanim,#hash_c2cf35cc10ae66a
xanim,#vm_battle_cry_bare_hands_additive
xanim,#hash_1042d8f0fc9dd4b8
xanim,#vm_grab_bare_hands
xanim,#hash_10e05769f3205919
xanim,#hash_1154a4d68993f7f2
xanim,#hash_1261c26d1bc75d04
xanim,#vm_grab_rh_additive
xanim,#hash_12d8d714bfc1cb79
xanim,#hash_14f51faf56e8a5b4
xanim,#hash_15087083b6dfb742
xanim,#hash_15ed32dc5a34e55a
xanim,#hash_17e734fbdc4513d3
xanim,#hash_18d469e682773b84
xanim,#hash_18ec8b8065207a1d
xanim,#hash_19feaef63ab0ef51
xanim,#hash_1a2d414d5fbfe7c9
xanim,#hash_1b3e020803f11d9a
