type,name
localizeentry,#hash_5fedd02612685d
localizeentry,#hash_7778a99e3a7d47
localizeentry,#hash_aaf7fedbbd0fd9
localizeentry,#hash_fcf99ca446cd53
localizeentry,#zombie/perk_quickrevive_keyboard
localizeentry,#hash_21247f6d4bd72b9
localizeentry,#hash_24a438482954901
localizeentry,#zombie/craftable_change_build
localizeentry,#hash_279db126c954111
localizeentry,#mp/thirdplace_name
localizeentry,d#hash_336cbe1bb6ff213
localizeentry,#hash_3539a53b7cf9ea2
localizeentry,#hash_3c284385b5ad550
localizeentry,#hash_4a972ee1265d60a
localizeentry,#mp/firstplace_name
localizeentry,#hash_5e3423d08973905
localizeentry,#hash_63690aa1bddde5a
localizeentry,#hash_64cb545dd18c607
localizeentry,#hash_693bb70d9737a5b
localizeentry,#zombie/build_piece_only_one
localizeentry,#hash_729e15cd6b31df3
localizeentry,#hash_73f632514ab7d15
localizeentry,#hash_77db65489366a43
localizeentry,#hash_788ffc8d7448f05
localizeentry,#hash_8919019fbbe2bdc
localizeentry,#hash_8e65f1e90063e14
localizeentry,#zombie/perk_quickrevive
localizeentry,#hash_90ca7c41027482c
localizeentry,#zmarcade/fasttravel_disabled
localizeentry,#hash_980c4fda0ffe694
localizeentry,#hash_9ad280f8b462963
localizeentry,#hash_9ad290f8b462b16
localizeentry,#hash_9ad2a0f8b462cc9
localizeentry,#hash_9ad2b0f8b462e7c
localizeentry,#hash_9c83a93f783b8e4
localizeentry,#hash_a32a3fa2a239897
localizeentry,#zombie/perk_packapunch
localizeentry,#zombie/build_piece_missing
localizeentry,#hash_ad3c47f53414b85
localizeentry,#zombie/grab_shield_spear_keyboard
localizeentry,#hash_b877496afcd42c8
localizeentry,#hash_c2b77be4cf5b142
localizeentry,#hash_c417ed2daa58e2e
localizeentry,#hash_c5eaf038e40129b
localizeentry,#hash_cb6a56ab3b14604
localizeentry,d#mp/host_ended_game
localizeentry,#zombie/perk_stronghold_keyboard
localizeentry,#hash_cef88785ed00590
localizeentry,#hash_d77fc2d11c6deb1
localizeentry,#hash_ddc319addc8bcb2
localizeentry,#hash_e0fa688fb248886
localizeentry,#zombie/round
localizeentry,#hash_f267d2561d974d7
localizeentry,#hash_fe988f7e566ff4d
localizeentry,#hash_fea06394ae21371
localizeentry,#hash_10a895033b20c705
localizeentry,#hash_10cc78ab5ba5a7f2
localizeentry,#zombie/powerup_pap
localizeentry,#hash_114f96a9d16cc6bb
localizeentry,#hash_117f528808767024
localizeentry,#zombie/perk_packapunch_aat_free
localizeentry,#hash_11dba2735866a0f6
localizeentry,#hash_11e532a4f9c3e482
localizeentry,#hash_1225b8e31a9ffb76
localizeentry,#zombie/button_to_revive_player
localizeentry,#hash_124b395fc222642b
localizeentry,#zombie/perk_packapunch_keyboard_free
localizeentry,#hash_1299ea66da4a06b0
localizeentry,#zombie/player_is_reviving_you
localizeentry,#zombie/undefined
localizeentry,#hash_133c9b7b564b707f
localizeentry,d#mp/defeat_caps
localizeentry,#zombie/perk_slider_keyboard
localizeentry,#hash_1589f4207559932b
localizeentry,#hash_159288d004543675
localizeentry,#zombie/button_buy_clear_debris_cost
localizeentry,#hash_15ed041575f5a233
localizeentry,#hash_166ccb55e49e33a0
localizeentry,#hash_16c249585a622491
localizeentry,#hash_17758d1de3b1fe6a
localizeentry,#zombie/powerup_insta_kill
localizeentry,#hash_17ff339e7f75ae18
localizeentry,d#mp/draw_caps
localizeentry,#hash_18240c9d5b676849
localizeentry,#zombie/weaponcostonly_cfill_bgb_secret_shopper
localizeentry,#hash_18fa90427a117729
localizeentry,#hash_192dc062b9c5de31
localizeentry,#zombie/repair_shield_keyboard
localizeentry,#hash_1995f0abfe0290ca
localizeentry,d#mp/overtime_caps
localizeentry,#zombie/perk_packapunch_aat_keyboard_free
localizeentry,#hash_1a444a987e075837
localizeentry,#hash_1ab078fa9460e7c9
localizeentry,#mp/secondplace_name
localizeentry,#zombie/perk_cooldown_keyboard
localizeentry,#hash_1c0d4cd0c77b16f1
localizeentry,#zombie/button_buy_back_barrier_10
localizeentry,#zombie/button_buy_back_barrier_20
localizeentry,#zombie/button_buy_back_barrier_50
localizeentry,#hash_1c530c71188469b5
localizeentry,#hash_1c6b895369b478b4
localizeentry,#hash_1cc451bd23c9e93d
localizeentry,#hash_1ee18bf56df7a29b
localizeentry,#zombie/perk_widowswine
localizeentry,#hash_1fff1a81ee33d49d
localizeentry,#hash_215c2a48351115a1
localizeentry,#zombie/trap_cooldown
localizeentry,#zombie/craftable_no_switch
localizeentry,#zombie/fasttravel_locked
localizeentry,#zombie/trap_locked
localizeentry,#hash_228c88065496b9fe
localizeentry,#hash_229abc68467e92ce
localizeentry,#zombie/extra_life
localizeentry,#zombie/perk_electric_cherry_keyboard
localizeentry,#zombie/perk_death_perception_keyboard
localizeentry,#zombie/button_buy_trap
localizeentry,#hash_23e352cd04548513
localizeentry,#hash_2463923420099bb0
localizeentry,#hash_2463933420099d63
localizeentry,#hash_2463943420099f16
localizeentry,#hash_246399342009a795
localizeentry,#zombie/wallbuy_cooldown
localizeentry,#zombie/perk_dying_wish
localizeentry,#mp/intermission_caps
localizeentry,#hash_2521f24d6587f6e7
localizeentry,#hash_2599dfad21d29341
localizeentry,#zombie/button_buy_close_door
localizeentry,#hash_2619fd380423798b
localizeentry,#zombie/perk_divetonuke_keyboard
localizeentry,#zombie/perk_marathon_keyboard
localizeentry,#hash_26f44827b2b24825
localizeentry,#hash_272fae998263208b
localizeentry,#zombie/fasttravel_generic_use
localizeentry,#hash_2791ecebb85142c4
localizeentry,d#zombie/survived_round
localizeentry,#zombie/perk_deadshot_keyboard
localizeentry,#hash_29f409e041d55ab8
localizeentry,#zombie/button_buy_back_barrier_100
localizeentry,#hash_2ad223a26dff12a0
localizeentry,#hash_2b2c79b632a243a5
localizeentry,#hash_2bf9eb58ed3ac518
localizeentry,#hash_2c31c30f3d0b0484
localizeentry,#zombie/repair_spectral_shield_keyboard
localizeentry,#hash_2d6886135fa75f38
localizeentry,#zombie/perk_tortoise
localizeentry,#hash_2ec2d4c4b42ef0de
localizeentry,#hash_2f89c70e07ddab1c
localizeentry,#hash_2fa6c1fed65c1073
localizeentry,#zombie/perk_additionalprimaryweapon_keyboard
localizeentry,#hash_307615269eadecab
localizeentry,#zombie/player_name_2
localizeentry,#zombie/player_name_3
localizeentry,#zombie/player_name_0
localizeentry,#zombie/player_name_1
localizeentry,d#mp/victory_caps
localizeentry,#hash_329de7d3aa04177c
localizeentry,#hash_32d0a8ef63f997f0
localizeentry,#hash_33cd9a34111d6257
localizeentry,#hash_33dd4b2b1f843b78
localizeentry,#hash_347f93db89cbb232
localizeentry,#zombie/repair_shield
localizeentry,#zombie/weaponammoonly_cfill
localizeentry,d#hash_388256f1e5a62d7c
localizeentry,#zombie/powerup_nuke
localizeentry,#zombie/perk_stronghold
localizeentry,#zombie/trap_active
localizeentry,#hash_39d6b1ad0b94f111
localizeentry,#hash_3a56700a564e8924
localizeentry,#hash_3a6d3a4472c8f10a
localizeentry,#hash_3ac40ae3ca4f04d7
localizeentry,#zombie/perk_deadshot
localizeentry,#hash_3b522b4b62050e3c
localizeentry,#zombie/grab_shield_keyboard
localizeentry,#hash_3ba7caee60b964e1
localizeentry,#hash_3bf7b3dc87b1015e
localizeentry,#hash_3c3d6fe023a5db0c
localizeentry,#hash_3d1e4f7ac23674b5
localizeentry,#hash_3d34018a57f83b7c
localizeentry,#zombie/magic_box_empty
localizeentry,d#hash_3d9d6e119fdd76ae
localizeentry,#zombie/perk_bandolier
localizeentry,#hash_3dc033ef1e67a5c0
localizeentry,#hash_3dd048373e06ad1f
localizeentry,#zombie/perk_packapunch_damage_free
localizeentry,#hash_3eb88d6b31198cf5
localizeentry,#hash_3ee2e0100fefb461
localizeentry,#hash_3f279e3e0f564e99
localizeentry,#hash_3f700791572b0dcf
localizeentry,d#mp/round_win_caps
localizeentry,#hash_404865fbf8dd5cc2
localizeentry,#zombie/grab_shield_free_keyboard
localizeentry,#zombie/random_weapon_cost
localizeentry,#zmtrials/player_took_damage
localizeentry,#zmtrials/purchase_rush
localizeentry,#hash_428a51d127f4dff6
localizeentry,#hash_42e37d69c3691009
localizeentry,#hash_4320539409034300
localizeentry,#hash_43ab0adee9d55608
localizeentry,#hash_44038d25e4255a68
localizeentry,#mp/halftime_caps
localizeentry,#zombie/perk_death_perception
localizeentry,#hash_44c1cc8f675c6316
localizeentry,#hash_45143147d543f878
localizeentry,#hash_451da0cb46417560
localizeentry,#zombie/player_needs_to_be_revived
localizeentry,#zombie/button_buy_open_door_cost
localizeentry,#zombie/reviving_solo
localizeentry,#hash_459951bdd5145bf0
localizeentry,#zombie/powerup_max_ammo
localizeentry,#zombie/perk_packapunch_damage_keyboard_free
localizeentry,#hash_461fdf40d1afda35
localizeentry,#hash_462ab08cca184367
localizeentry,#hash_46ef69192b933e43
localizeentry,#hash_474e77011ad63e7a
localizeentry,#hash_47630634eac8f91f
localizeentry,#zombie/fasttravel_generic_use_keyboard
localizeentry,#hash_47ff6a92609a306e
localizeentry,#hash_48157c44f8771b6c
localizeentry,#hash_481e84e3d5747771
localizeentry,#hash_484dffbaa43c048d
localizeentry,#hash_4850e5e041e6fb16
localizeentry,#hash_4871b118fb4dfd6b
localizeentry,#hash_488d49498a4d6ea8
localizeentry,#zombie/usealtar
localizeentry,#hash_497917c49187deea
localizeentry,#hash_499047a304f98d29
localizeentry,#zombie/repair_shield_spear_keyboard
localizeentry,#hash_499c3242364f1755
localizeentry,#hash_49bed62fb20d6ed0
localizeentry,#hash_4a311ac05dc9a883
localizeentry,d#zombie/building
localizeentry,#zombie/weaponammoonly_cfill_bgb_secret_shopper
localizeentry,#zombie/perk_electric_cherry
localizeentry,#zombie/perk_packapunch_keyboard
localizeentry,#hash_4b77c0a6bc72bc31
localizeentry,d#zmarcade/blank
localizeentry,#zombie/grab_shield_sword_keyboard
localizeentry,#zombie/fasttravel_delay
localizeentry,#hash_4bef74a6e7f21aa0
localizeentry,#zombie/perk_packapunch_damage
localizeentry,#hash_4cf42029f734b45b
localizeentry,#hash_4d3b699f8bc8e3fe
localizeentry,#hash_4d8ca83f86b22f28
localizeentry,#zmarcade/picked_up_key
localizeentry,#zombie/perk_packapunch_damage_keyboard
localizeentry,#hash_4e619a0715198f72
localizeentry,#zombie/perk_dying_wish_keyboard
