type,name
image,#t7_hud_mp_notifications_xp_blue
streamkey,#hash_4cbd150aad6431df
streamkey,#hash_4d07da90e1c1a76
streamkey,#hash_299e34a8453c3459
streamkey,#hash_56fcbbd1ab797a84
sound,#core_ui.fj
localizeentry,#options/pc_mantle_press_jump_desc
localizeentry,#hash_44db943aa0ec1
localizeentry,#hash_d004f2913090a
localizeentry,#quotes/must_not_fight_too_often_with_one_enemy
localizeentry,#hash_100d75bdc47d9e
localizeentry,#menu/error_caps
localizeentry,#heroes/war_paint
localizeentry,#hash_2240bd412963ad
localizeentry,#hash_230f2c6d96e9a8
localizeentry,#hash_24e3ae3ca7df66
localizeentry,#hash_2689f7ef9b424b
localizeentry,#mptip/target_diamond_los_tip
localizeentry,#hash_2d4c12b9de76a7
localizeentry,#em/pillow
localizeentry,#hash_3f36a126979e2a
localizeentry,#hash_427a38ed7574ba
localizeentry,#hash_49a19ddfca292b
localizeentry,#hash_49a29ddfca2ade
localizeentry,#menu/privacy_settings_state_complete
localizeentry,#hash_4b71cb37b34176
localizeentry,#hash_4c2f0bb2c4954e
localizeentry,#menu/mlg_quality_best
localizeentry,#hash_5a958e14ac478a
localizeentry,d#mpui/stalker
localizeentry,#hash_5d1d623c0832d4
localizeentry,#menu/carrier_move_speed_hint
localizeentry,#hash_68ca5fcb835fb9
localizeentry,#hash_6ede7013eb0a00
localizeentry,#hash_6edf7013eb0bb3
localizeentry,#hash_6ee17013eb0f19
localizeentry,#hash_6ee27013eb10cc
localizeentry,#hash_6ee37013eb127f
localizeentry,#hash_6ee47013eb1432
localizeentry,#hash_6ee57013eb15e5
localizeentry,#store/publishedby
localizeentry,#hash_7ee406c9f392d3
localizeentry,#hash_7fb0e22b54fe01
localizeentry,#hash_817517c9b3a8ab
localizeentry,#options/pc_changestance_desc
localizeentry,#hash_8b1fc81e30f868
localizeentry,#hash_8ce7d2e4fcec35
localizeentry,#menu/spawn_suicide_penalty_hint
localizeentry,#hash_8f49b26db188eb
localizeentry,#menu/waiting_caps
localizeentry,#platform/button_layout
localizeentry,#hash_c6f2e103e4397d
localizeentry,#hash_c6f84d5421f573
localizeentry,#hash_db6129f6ac2f26
localizeentry,#menu/codex_bookmark_ciahome
localizeentry,#menu/look_sensitivity_vertical
localizeentry,#menu/win_rule
localizeentry,#hash_fb5a592704fa39
localizeentry,#achievements/zm_white_knuckles
localizeentry,#hash_102f37de5e04fc8
localizeentry,#menu/friendlyfire_hint
localizeentry,#hash_10fec0d6c18d931
localizeentry,#hash_1103157d37120bd
localizeentry,#hash_111ec45ab3b0626
localizeentry,#menu/ball_return_time
localizeentry,#hash_117f6c0a2aae0db
localizeentry,#hash_11ab825af710768
localizeentry,#hash_1228188324cf56e
localizeentry,#menu/prestige_master_notification
localizeentry,#menu/incremental_spawn_delay_hint
localizeentry,#hash_1352ce8550182eb
localizeentry,#hash_1352de85501849e
localizeentry,#menu/shutdown_damage_hint
localizeentry,#menu/options_network_cod_connected
localizeentry,#hash_143e1bd3e77e980
