type,name
localizeentry,#mp/thirdplace_name
localizeentry,#mp/firstplace_name
localizeentry,#coop/button_to_revive_player
localizeentry,#killstreak/earned_qrdrone
localizeentry,#warzone/button_finish
localizeentry,d#mp/host_ended_game
localizeentry,#coop/revive_emergency_reserve_once
localizeentry,#hash_ddc319addc8bcb2
localizeentry,d#mp/host_sucks
localizeentry,d#mp/defeat_caps
localizeentry,#killstreak/emp_inbound
localizeentry,#hash_1458857df9447fb3
localizeentry,#coop/player_needs_to_be_revived
localizeentry,d#mp/draw_caps
localizeentry,#hash_19a78c0c5f7dd76f
localizeentry,d#mp/overtime_caps
localizeentry,#killstreak/emp_not_available
localizeentry,#mp/secondplace_name
localizeentry,#mp/team_eliminated
localizeentry,#mp/intermission_caps
localizeentry,#killstreak/earned_emp
localizeentry,#mpui/ammo_full
localizeentry,d#mp/score_limit_reached
localizeentry,d#hash_3191d03a1c0615ad
localizeentry,d#mp/victory_caps
localizeentry,#hash_3267fdfd0c2b7fdc
localizeentry,#coop/player_is_reviving_you
localizeentry,d#mp/round_limit_reached
localizeentry,d#mp/round_win_caps
localizeentry,d#killstreak/emp_place_turret_hint
localizeentry,#killstreak/qrdrone_hacked
localizeentry,#mp/halftime_caps
localizeentry,d#mp/players_forfeited
localizeentry,#mp/wins
localizeentry,d#mp/time_limit_reached
localizeentry,d#mp/ended_game
localizeentry,#hash_5378ad2a180f684c
localizeentry,d#killstreak/emp_invalid_turret_location
localizeentry,#mp/match_bonus_is
localizeentry,#killstreak/qrdrone_inbound
localizeentry,#hash_5a11b7ef0cd7e33b
localizeentry,d#hash_5ebfcbc4ad2769b6
localizeentry,#mp/roundend_caps
localizeentry,d#coop/reviving
localizeentry,d#mp/round_draw_caps
localizeentry,#warzone/button_revive
localizeentry,#mp/host_endgame_response
localizeentry,#coop/revive_emergency_reserve
localizeentry,d#mp/round_loss_caps
localizeentry,d#mp/match_tie
localizeentry,#hash_76d4a80b0b67fb9e
localizeentry,#hash_77965c9740b1082d
localizeentry,#killstreak/qrdrone_not_available
localizeentry,d#mp/round_draw
keyvaluepairs,#jj_mp_common_script
