type,name
localizeentry,#mp/thirdplace_name
localizeentry,#wz/supply_drop
localizeentry,#mp/firstplace_name
localizeentry,#coop/button_to_revive_player
localizeentry,#killstreak/earned_qrdrone
localizeentry,#wz/helicopter
localizeentry,#warzone/button_finish
localizeentry,#hash_b4161658ce1809f
localizeentry,d#mp/host_ended_game
localizeentry,#coop/revive_emergency_reserve_once
localizeentry,#wz/arav
localizeentry,#hash_ddc319addc8bcb2
localizeentry,d#mp/host_sucks
localizeentry,d#hash_141c79e0a2e1383e
localizeentry,#killstreak/emp_inbound
localizeentry,#hash_1458857df9447fb3
localizeentry,#hash_1471fac13741ca74
localizeentry,#coop/player_needs_to_be_revived
localizeentry,d#hash_18114ebf7e352c55
localizeentry,#hash_19a78c0c5f7dd76f
localizeentry,d#hash_19d325d8d1bfd3de
localizeentry,#killstreak/emp_not_available
localizeentry,#wz/supply_stash
localizeentry,#mp/secondplace_name
localizeentry,#wz/pickup_items
localizeentry,#wz/player_atv
localizeentry,#mp/team_eliminated
localizeentry,#mp/intermission_caps
localizeentry,#wz/motorcycle
localizeentry,#killstreak/earned_emp
localizeentry,d#hash_2bb32441107b5fea
localizeentry,#mpui/ammo_full
localizeentry,d#mp/score_limit_reached
localizeentry,d#hash_3191d03a1c0615ad
localizeentry,#wz/cargo_truck
localizeentry,d#hash_31e1e88e88ba263f
localizeentry,#wz/vehicle_health
localizeentry,#hash_3267fdfd0c2b7fdc
localizeentry,#coop/player_is_reviving_you
localizeentry,#hash_35b5848d9f1b58e0
localizeentry,d#hash_36e25fd652fdfac2
localizeentry,d#mp/round_limit_reached
localizeentry,d#mp/round_win_caps
localizeentry,#killstreak/emp_place_turret_hint
localizeentry,#killstreak/qrdrone_hacked
localizeentry,d#hash_433c75db9fd3177e
localizeentry,#hash_4403919077b48aaf
localizeentry,#wz/tank
localizeentry,#wz/pbr
localizeentry,d#mp/players_forfeited
localizeentry,#mp/wins
localizeentry,d#mp/time_limit_reached
localizeentry,d#mp/ended_game
localizeentry,#wz/muscle_car
localizeentry,#hash_5082ca83a4dd1416
localizeentry,#wz/suv
localizeentry,#hash_5378ad2a180f684c
localizeentry,#killstreak/emp_invalid_turret_location
localizeentry,#mp/match_bonus_is
localizeentry,#killstreak/qrdrone_inbound
localizeentry,#hash_5a11b7ef0cd7e33b
localizeentry,d#hash_5ebfcbc4ad2769b6
localizeentry,#hash_602556b5bd4f952d
localizeentry,#wz/huey
localizeentry,#mp/roundend_caps
localizeentry,d#coop/reviving
localizeentry,d#mp/round_draw_caps
localizeentry,#warzone/button_revive
localizeentry,#mp/host_endgame_response
localizeentry,#coop/revive_emergency_reserve
localizeentry,d#mp/round_loss_caps
localizeentry,d#mp/match_tie
localizeentry,#hash_76d4a80b0b67fb9e
localizeentry,#hash_77965c9740b1082d
localizeentry,#killstreak/qrdrone_not_available
localizeentry,#wz/death_stash
localizeentry,d#mp/round_draw
keyvaluepairs,#jj_wz_common_script
